File_name,Product_name,URL,Category,SubCategory,Website
PRODUCT_Orient Electric Ujala Air BEE Star Rated 1 Star 1200mm Ceiling Fan(Brown Soft Pearl White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air BEE Star Rated 1200 mm 3 Blade Ceiling Fan(Brown)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN8HU3EB7ZX,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Air BEE Star Rated 1 Star 1200mm Ceiling Fan(Brown Soft Pearl White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air BEE Star Rated 1200 mm 3 Blade Ceiling Fan (White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN8DHU7JQZE,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Air BEE Star Rated 1 Star 1200mm Ceiling Fan(Brown Soft Pearl White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air BEE Star Rated 1200 mm 3 Blade Ceiling Fan (Soft Pearl)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN86YHPZMKU,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Amazon_Orient,PRODUCT_Orient Electric Pacific Air Decor 1200mm BEE Star Rated Ceiling Fan (Smoke Brown)-Amazon_Orient,https://www.amazon.in/dp/B0BMVFDLXH,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Amazon_Orient,PRODUCT_Orient Electric Pacific Air Decor 1200mm BEE Star Rated Ceiling Fan (White)-Amazon_Orient,https://www.amazon.in/dp/B0BMVF3GZJ,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Amazon_Orient,PRODUCT_Orient Electric Pacific Air Decor BEE Star Rated Ceiling Fan1200mm (Ivory Gold)-Amazon_Orient,https://www.amazon.in/dp/B0BMVFYDS3,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200 mm 3 Blade Ceiling Fan (Ivory)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN8FY3GTCAR,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air Deco 1200 mm 3 Blade Ceiling Fan (Smoke Brown Bronze)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN8MF9QGHV4,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200mm Ceiling Fan(Ivory White Silver Brown Bronze)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Air Deco 1 Star 1200 mm 3 Blade Ceiling Fan (White Silver)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWNBWWDUSX44,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Prime BEE and BLDC 5 Star Rated 1200mm Ceiling Fan(Brown White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Prime BEE Star Rated 1200 mm 3 Blade Ceiling Fan (Brown)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWNBDEWGSDHY,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Prime BEE and BLDC 5 Star Rated 1200mm Ceiling Fan(Brown White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Prime BEE Star Rated 1200 mm 3 Blade Ceiling Fan (White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWNBCFHGND89,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Prime BEE and BLDC 5 Star Rated 1200mm Ceiling Fan(Brown White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Prime 5 Star 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan(Brown)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGTBF8GNTGAZQK,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric Ujala Prime BEE and BLDC 5 Star Rated 1200mm Ceiling Fan(Brown White)-Flipkart_Orient,PRODUCT_Orient Electric Ujala Prime 5 Star 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan(White)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGTBF8Z2DBZZHR,Fans,Ceiling,Flipkart
PRODUCT_Orient Electric VENTILATOR DX 200 mm Exhaust Fan White-Flipkart_Orient,PRODUCT_Orient Electric VENTILATOR DX 200 mm Exhaust Fan White-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=EXFFZTTRTC8QUS7F,Fans,Exhaust,Flipkart
PRODUCT_Orient Electric Ventilator Dx 200mm Fan (White Ivory)-Amazon_Orient,PRODUCT_Orient Electric Ventilator Dx 200mm Fan(White)(Ivory)-Amazon_Orient,https://www.amazon.in/dp/B08FDZK7FC,Fans,Exhaust,Amazon
PRODUCT_Orient Electric Ventilator Dx 200mm Fan (White Ivory)-Amazon_Orient,PRODUCT_Orient Electric Ventilator Dx 200mm Fan(White)(White)-Amazon_Orient,https://www.amazon.in/dp/B01AT95TJS,Fans,Exhaust,Amazon
PRODUCT_Orient Electric Ventilator Dx 250mm Electric Exhaust Fan White-Amazon_Orient,PRODUCT_Orient Electric Ventilator Dx 250mm Electric Exhaust Fan White-Amazon_Orient,https://www.amazon.in/dp/B01M02GNG4,Fans,Exhaust,Amazon
PRODUCT_Orient Electric Wall Fan 44 16 Inch White-Amazon_Orient,PRODUCT_Orient Electric Wall Fan 44 16 Inch White-Amazon_Orient,https://www.amazon.in/dp/B00KPWQXAO,Fans,Wall,Amazon
PRODUCT_Orient Electric Wall Fan 44 Trendz Fan(Electric Blue Slate Grey)-Amazon_Orient,PRODUCT_Orient Electric Wall Fan 44 Trendz Fan Electric Blue-Amazon_Orient,https://www.amazon.in/dp/B08FS737M1,Fans,Wall,Amazon
PRODUCT_Orient Electric Wall Fan 44 Trendz Fan(Electric Blue Slate Grey)-Amazon_Orient,PRODUCT_Orient Electric Wall Fan 44 Trendz Fan Slate Grey-Amazon_Orient,https://www.amazon.in/dp/B07QV8MNRF,Fans,Wall,Amazon
PRODUCT_Orient Electric Wall Fan 48 Superior Air Delivery Revolutionary CTX Technology Crystal White-Amazon_Orient,PRODUCT_Orient Electric Wall Fan 48 Superior Air Delivery Revolutionary CTX Technology Crystal White-Amazon_Orient,https://www.amazon.in/dp/B017A34ZKA,Fans,Wall,Amazon
PRODUCT_Orient Electric Wall Fan 49 Remote Touch Control Panel Crystal White-Amazon_Orient,PRODUCT_Orient Electric Wall Fan 49 Remote Touch Control Panel Crystal White-Amazon_Orient,https://www.amazon.in/dp/B01DLTWNTM,Fans,Wall,Amazon
PRODUCT_Orient Electric Wendy 1200mm BEE Star Ceiling Fan(Blue Pearl White Topaz Black Gold)-Amazon_Orient,PRODUCT_Orient Electric Wendy 1200mm BEE Star Rated Ceiling Fan (Azure Blue)-Amazon_Orient,https://www.amazon.in/dp/B0BN8WKC1G,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Wendy 1200mm BEE Star Ceiling Fan(Blue Pearl White Topaz Black Gold)-Amazon_Orient,PRODUCT_Orient Electric Wendy 1200mm BEE Star Rated Ceiling Fan (Topaz Gold)-Amazon_Orient,https://www.amazon.in/dp/B0BN8GW28Y,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Wendy 1200mm BEE Star Ceiling Fan(Blue Pearl White Topaz Black Gold)-Amazon_Orient,PRODUCT_Orient Electric Wendy 1200mm BEE Star Rated Ceiling Fan (Black Gold)-Amazon_Orient,https://www.amazon.in/dp/B0BN8K1QWB,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Wendy 1200mm BEE Star Ceiling Fan(Blue Pearl White Topaz Black Gold)-Amazon_Orient,PRODUCT_Orient Electric Wendy 1200mm BEE Star Rated Ceiling Fan (Pearl White Walnut)-Amazon_Orient,https://www.amazon.in/dp/B0BN8H6LP8,Fans,Ceiling,Amazon
PRODUCT_Orient Electric Wendy BLDC 1 5 Star 1200mm Ceiling Fan(BlueSilver BlackGold Topaz Brown Walnut)-Flipkart_Orient,PRODUCT_Orient Electric Wendy 1 Star 1200 mm 3 Blade Ceiling Fan (Blue Silver)-Flipkart_Orient,https://www.flipkart.com/product/p/itm?pid=FANGJWN8BHFUKCAE,Fans,Ceiling,Flipkart
